cell_type,layer,freq
CSF-cN,1-4,0.0
CSF-cN,1/2,0.0
CSF-cN,1/2/3,0.0
CSF-cN,1/2o,0.0
CSF-cN,1/2o (2i-4),0.0
CSF-cN,1/2o (2i/3),0.0
CSF-cN,1/2o (3),0.0
CSF-cN,1/2o/2i,0.0
CSF-cN,1/2o/2i/3,0.0
CSF-cN,1/2o/4,0.0
CSF-cN,10,1.0
CSF-cN,2i (3/4),0.0
CSF-cN,2i/3,0.0
CSF-cN,2i/3 (1-4),0.0
CSF-cN,2i/3/4,0.0
CSF-cN,3 (1-4),0.0
CSF-cN,3 (1-5),0.0
CSF-cN,3/4,0.0
CSF-cN,3/4 (1/2o),0.0
CSF-cN,4,0.0
CSF-cN,4/5,0.0
CSF-cN,4/5/6,0.0
CSF-cN,4/lat 5,0.0
CSF-cN,4/med 5,0.0
CSF-cN,5,0.0
CSF-cN,5/6,0.0
CSF-cN,6/7/8,0.0
CSF-cN,7,0.0
CSF-cN,7-IML,0.0
CSF-cN,7/8,0.0
CSF-cN,9,0.0
CSF-cN,N/A,0.0
CSF-cN,med 5,0.0
Excit-01,1-4,0.0
Excit-01,1/2,0.0
Excit-01,1/2/3,0.0
Excit-01,1/2o,1.0
Excit-01,1/2o (2i-4),0.0
Excit-01,1/2o (2i/3),0.0
Excit-01,1/2o (3),0.0
Excit-01,1/2o/2i,0.0
Excit-01,1/2o/2i/3,0.0
Excit-01,1/2o/4,0.0
Excit-01,10,0.0
Excit-01,2i (3/4),0.0
Excit-01,2i/3,0.0
Excit-01,2i/3 (1-4),0.0
Excit-01,2i/3/4,0.0
Excit-01,3 (1-4),0.0
Excit-01,3 (1-5),0.0
Excit-01,3/4,0.0
Excit-01,3/4 (1/2o),0.0
Excit-01,4,0.0
Excit-01,4/5,0.0
Excit-01,4/5/6,0.0
Excit-01,4/lat 5,0.0
Excit-01,4/med 5,0.0
Excit-01,5,0.0
Excit-01,5/6,0.0
Excit-01,6/7/8,0.0
Excit-01,7,0.0
Excit-01,7-IML,0.0
Excit-01,7/8,0.0
Excit-01,9,0.0
Excit-01,N/A,0.0
Excit-01,med 5,0.0
Excit-02,1-4,0.0
Excit-02,1/2,0.0
Excit-02,1/2/3,0.0
Excit-02,1/2o,0.0
Excit-02,1/2o (2i-4),0.0
Excit-02,1/2o (2i/3),0.0
Excit-02,1/2o (3),0.0
Excit-02,1/2o/2i,1.0
Excit-02,1/2o/2i/3,0.0
Excit-02,1/2o/4,0.0
Excit-02,10,0.0
Excit-02,2i (3/4),0.0
Excit-02,2i/3,0.0
Excit-02,2i/3 (1-4),0.0
Excit-02,2i/3/4,0.0
Excit-02,3 (1-4),0.0
Excit-02,3 (1-5),0.0
Excit-02,3/4,0.0
Excit-02,3/4 (1/2o),0.0
Excit-02,4,0.0
Excit-02,4/5,0.0
Excit-02,4/5/6,0.0
Excit-02,4/lat 5,0.0
Excit-02,4/med 5,0.0
Excit-02,5,0.0
Excit-02,5/6,0.0
Excit-02,6/7/8,0.0
Excit-02,7,0.0
Excit-02,7-IML,0.0
Excit-02,7/8,0.0
Excit-02,9,0.0
Excit-02,N/A,0.0
Excit-02,med 5,0.0
Excit-03,1-4,0.0
Excit-03,1/2,0.0
Excit-03,1/2/3,0.0
Excit-03,1/2o,0.0
Excit-03,1/2o (2i-4),0.0
Excit-03,1/2o (2i/3),0.0
Excit-03,1/2o (3),0.0
Excit-03,1/2o/2i,1.0
Excit-03,1/2o/2i/3,0.0
Excit-03,1/2o/4,0.0
Excit-03,10,0.0
Excit-03,2i (3/4),0.0
Excit-03,2i/3,0.0
Excit-03,2i/3 (1-4),0.0
Excit-03,2i/3/4,0.0
Excit-03,3 (1-4),0.0
Excit-03,3 (1-5),0.0
Excit-03,3/4,0.0
Excit-03,3/4 (1/2o),0.0
Excit-03,4,0.0
Excit-03,4/5,0.0
Excit-03,4/5/6,0.0
Excit-03,4/lat 5,0.0
Excit-03,4/med 5,0.0
Excit-03,5,0.0
Excit-03,5/6,0.0
Excit-03,6/7/8,0.0
Excit-03,7,0.0
Excit-03,7-IML,0.0
Excit-03,7/8,0.0
Excit-03,9,0.0
Excit-03,N/A,0.0
Excit-03,med 5,0.0
Excit-04,1-4,0.0
Excit-04,1/2,0.0
Excit-04,1/2/3,0.0
Excit-04,1/2o,0.0
Excit-04,1/2o (2i-4),0.0
Excit-04,1/2o (2i/3),0.0
Excit-04,1/2o (3),0.0
Excit-04,1/2o/2i,0.0
Excit-04,1/2o/2i/3,0.0
Excit-04,1/2o/4,0.0
Excit-04,10,0.0
Excit-04,2i (3/4),0.0
Excit-04,2i/3,1.0
Excit-04,2i/3 (1-4),0.0
Excit-04,2i/3/4,0.0
Excit-04,3 (1-4),0.0
Excit-04,3 (1-5),0.0
Excit-04,3/4,0.0
Excit-04,3/4 (1/2o),0.0
Excit-04,4,0.0
Excit-04,4/5,0.0
Excit-04,4/5/6,0.0
Excit-04,4/lat 5,0.0
Excit-04,4/med 5,0.0
Excit-04,5,0.0
Excit-04,5/6,0.0
Excit-04,6/7/8,0.0
Excit-04,7,0.0
Excit-04,7-IML,0.0
Excit-04,7/8,0.0
Excit-04,9,0.0
Excit-04,N/A,0.0
Excit-04,med 5,0.0
Excit-05,1-4,0.0
Excit-05,1/2,0.0
Excit-05,1/2/3,0.0
Excit-05,1/2o,0.0
Excit-05,1/2o (2i-4),0.0
Excit-05,1/2o (2i/3),0.0
Excit-05,1/2o (3),0.0
Excit-05,1/2o/2i,0.0
Excit-05,1/2o/2i/3,0.0
Excit-05,1/2o/4,0.0
Excit-05,10,0.0
Excit-05,2i (3/4),0.0
Excit-05,2i/3,0.0
Excit-05,2i/3 (1-4),0.0
Excit-05,2i/3/4,1.0
Excit-05,3 (1-4),0.0
Excit-05,3 (1-5),0.0
Excit-05,3/4,0.0
Excit-05,3/4 (1/2o),0.0
Excit-05,4,0.0
Excit-05,4/5,0.0
Excit-05,4/5/6,0.0
Excit-05,4/lat 5,0.0
Excit-05,4/med 5,0.0
Excit-05,5,0.0
Excit-05,5/6,0.0
Excit-05,6/7/8,0.0
Excit-05,7,0.0
Excit-05,7-IML,0.0
Excit-05,7/8,0.0
Excit-05,9,0.0
Excit-05,N/A,0.0
Excit-05,med 5,0.0
Excit-06,1-4,0.0
Excit-06,1/2,0.0
Excit-06,1/2/3,0.0
Excit-06,1/2o,0.0
Excit-06,1/2o (2i-4),0.0
Excit-06,1/2o (2i/3),0.0
Excit-06,1/2o (3),0.0
Excit-06,1/2o/2i,0.0
Excit-06,1/2o/2i/3,0.0
Excit-06,1/2o/4,0.0
Excit-06,10,0.0
Excit-06,2i (3/4),0.0
Excit-06,2i/3,0.0
Excit-06,2i/3 (1-4),0.0
Excit-06,2i/3/4,0.0
Excit-06,3 (1-4),0.0
Excit-06,3 (1-5),0.0
Excit-06,3/4,1.0
Excit-06,3/4 (1/2o),0.0
Excit-06,4,0.0
Excit-06,4/5,0.0
Excit-06,4/5/6,0.0
Excit-06,4/lat 5,0.0
Excit-06,4/med 5,0.0
Excit-06,5,0.0
Excit-06,5/6,0.0
Excit-06,6/7/8,0.0
Excit-06,7,0.0
Excit-06,7-IML,0.0
Excit-06,7/8,0.0
Excit-06,9,0.0
Excit-06,N/A,0.0
Excit-06,med 5,0.0
Excit-08,1-4,0.0
Excit-08,1/2,1.0
Excit-08,1/2/3,0.0
Excit-08,1/2o,0.0
Excit-08,1/2o (2i-4),0.0
Excit-08,1/2o (2i/3),0.0
Excit-08,1/2o (3),0.0
Excit-08,1/2o/2i,0.0
Excit-08,1/2o/2i/3,0.0
Excit-08,1/2o/4,0.0
Excit-08,10,0.0
Excit-08,2i (3/4),0.0
Excit-08,2i/3,0.0
Excit-08,2i/3 (1-4),0.0
Excit-08,2i/3/4,0.0
Excit-08,3 (1-4),0.0
Excit-08,3 (1-5),0.0
Excit-08,3/4,0.0
Excit-08,3/4 (1/2o),0.0
Excit-08,4,0.0
Excit-08,4/5,0.0
Excit-08,4/5/6,0.0
Excit-08,4/lat 5,0.0
Excit-08,4/med 5,0.0
Excit-08,5,0.0
Excit-08,5/6,0.0
Excit-08,6/7/8,0.0
Excit-08,7,0.0
Excit-08,7-IML,0.0
Excit-08,7/8,0.0
Excit-08,9,0.0
Excit-08,N/A,0.0
Excit-08,med 5,0.0
Excit-09,1-4,0.0
Excit-09,1/2,0.0
Excit-09,1/2/3,1.0
Excit-09,1/2o,0.0
Excit-09,1/2o (2i-4),0.0
Excit-09,1/2o (2i/3),0.0
Excit-09,1/2o (3),0.0
Excit-09,1/2o/2i,0.0
Excit-09,1/2o/2i/3,0.0
Excit-09,1/2o/4,0.0
Excit-09,10,0.0
Excit-09,2i (3/4),0.0
Excit-09,2i/3,0.0
Excit-09,2i/3 (1-4),0.0
Excit-09,2i/3/4,0.0
Excit-09,3 (1-4),0.0
Excit-09,3 (1-5),0.0
Excit-09,3/4,0.0
Excit-09,3/4 (1/2o),0.0
Excit-09,4,0.0
Excit-09,4/5,0.0
Excit-09,4/5/6,0.0
Excit-09,4/lat 5,0.0
Excit-09,4/med 5,0.0
Excit-09,5,0.0
Excit-09,5/6,0.0
Excit-09,6/7/8,0.0
Excit-09,7,0.0
Excit-09,7-IML,0.0
Excit-09,7/8,0.0
Excit-09,9,0.0
Excit-09,N/A,0.0
Excit-09,med 5,0.0
Excit-10,1-4,0.0
Excit-10,1/2,1.0
Excit-10,1/2/3,0.0
Excit-10,1/2o,0.0
Excit-10,1/2o (2i-4),0.0
Excit-10,1/2o (2i/3),0.0
Excit-10,1/2o (3),0.0
Excit-10,1/2o/2i,0.0
Excit-10,1/2o/2i/3,0.0
Excit-10,1/2o/4,0.0
Excit-10,10,0.0
Excit-10,2i (3/4),0.0
Excit-10,2i/3,0.0
Excit-10,2i/3 (1-4),0.0
Excit-10,2i/3/4,0.0
Excit-10,3 (1-4),0.0
Excit-10,3 (1-5),0.0
Excit-10,3/4,0.0
Excit-10,3/4 (1/2o),0.0
Excit-10,4,0.0
Excit-10,4/5,0.0
Excit-10,4/5/6,0.0
Excit-10,4/lat 5,0.0
Excit-10,4/med 5,0.0
Excit-10,5,0.0
Excit-10,5/6,0.0
Excit-10,6/7/8,0.0
Excit-10,7,0.0
Excit-10,7-IML,0.0
Excit-10,7/8,0.0
Excit-10,9,0.0
Excit-10,N/A,0.0
Excit-10,med 5,0.0
Excit-11,1-4,0.0
Excit-11,1/2,0.0
Excit-11,1/2/3,0.0
Excit-11,1/2o,0.0
Excit-11,1/2o (2i-4),0.0
Excit-11,1/2o (2i/3),0.0
Excit-11,1/2o (3),0.0
Excit-11,1/2o/2i,0.0
Excit-11,1/2o/2i/3,0.0
Excit-11,1/2o/4,0.0
Excit-11,10,0.0
Excit-11,2i (3/4),0.0
Excit-11,2i/3,0.0
Excit-11,2i/3 (1-4),0.0
Excit-11,2i/3/4,0.0
Excit-11,3 (1-4),0.0
Excit-11,3 (1-5),0.0
Excit-11,3/4,0.0
Excit-11,3/4 (1/2o),0.0
Excit-11,4,0.0
Excit-11,4/5,0.0
Excit-11,4/5/6,0.0
Excit-11,4/lat 5,0.0
Excit-11,4/med 5,0.0
Excit-11,5,0.0
Excit-11,5/6,0.0
Excit-11,6/7/8,0.0
Excit-11,7,0.0
Excit-11,7-IML,0.0
Excit-11,7/8,0.0
Excit-11,9,0.0
Excit-11,N/A,1.0
Excit-11,med 5,0.0
Excit-12,1-4,0.0
Excit-12,1/2,1.0
Excit-12,1/2/3,0.0
Excit-12,1/2o,0.0
Excit-12,1/2o (2i-4),0.0
Excit-12,1/2o (2i/3),0.0
Excit-12,1/2o (3),0.0
Excit-12,1/2o/2i,0.0
Excit-12,1/2o/2i/3,0.0
Excit-12,1/2o/4,0.0
Excit-12,10,0.0
Excit-12,2i (3/4),0.0
Excit-12,2i/3,0.0
Excit-12,2i/3 (1-4),0.0
Excit-12,2i/3/4,0.0
Excit-12,3 (1-4),0.0
Excit-12,3 (1-5),0.0
Excit-12,3/4,0.0
Excit-12,3/4 (1/2o),0.0
Excit-12,4,0.0
Excit-12,4/5,0.0
Excit-12,4/5/6,0.0
Excit-12,4/lat 5,0.0
Excit-12,4/med 5,0.0
Excit-12,5,0.0
Excit-12,5/6,0.0
Excit-12,6/7/8,0.0
Excit-12,7,0.0
Excit-12,7-IML,0.0
Excit-12,7/8,0.0
Excit-12,9,0.0
Excit-12,N/A,0.0
Excit-12,med 5,0.0
Excit-13,1-4,0.0
Excit-13,1/2,0.0
Excit-13,1/2/3,0.0
Excit-13,1/2o,0.0
Excit-13,1/2o (2i-4),0.0
Excit-13,1/2o (2i/3),0.0
Excit-13,1/2o (3),0.0
Excit-13,1/2o/2i,0.0
Excit-13,1/2o/2i/3,0.0
Excit-13,1/2o/4,0.0
Excit-13,10,0.0
Excit-13,2i (3/4),0.0
Excit-13,2i/3,1.0
Excit-13,2i/3 (1-4),0.0
Excit-13,2i/3/4,0.0
Excit-13,3 (1-4),0.0
Excit-13,3 (1-5),0.0
Excit-13,3/4,0.0
Excit-13,3/4 (1/2o),0.0
Excit-13,4,0.0
Excit-13,4/5,0.0
Excit-13,4/5/6,0.0
Excit-13,4/lat 5,0.0
Excit-13,4/med 5,0.0
Excit-13,5,0.0
Excit-13,5/6,0.0
Excit-13,6/7/8,0.0
Excit-13,7,0.0
Excit-13,7-IML,0.0
Excit-13,7/8,0.0
Excit-13,9,0.0
Excit-13,N/A,0.0
Excit-13,med 5,0.0
Excit-14,1-4,0.0
Excit-14,1/2,0.0
Excit-14,1/2/3,0.0
Excit-14,1/2o,1.0
Excit-14,1/2o (2i-4),0.0
Excit-14,1/2o (2i/3),0.0
Excit-14,1/2o (3),0.0
Excit-14,1/2o/2i,0.0
Excit-14,1/2o/2i/3,0.0
Excit-14,1/2o/4,0.0
Excit-14,10,0.0
Excit-14,2i (3/4),0.0
Excit-14,2i/3,0.0
Excit-14,2i/3 (1-4),0.0
Excit-14,2i/3/4,0.0
Excit-14,3 (1-4),0.0
Excit-14,3 (1-5),0.0
Excit-14,3/4,0.0
Excit-14,3/4 (1/2o),0.0
Excit-14,4,0.0
Excit-14,4/5,0.0
Excit-14,4/5/6,0.0
Excit-14,4/lat 5,0.0
Excit-14,4/med 5,0.0
Excit-14,5,0.0
Excit-14,5/6,0.0
Excit-14,6/7/8,0.0
Excit-14,7,0.0
Excit-14,7-IML,0.0
Excit-14,7/8,0.0
Excit-14,9,0.0
Excit-14,N/A,0.0
Excit-14,med 5,0.0
Excit-15,1-4,0.0
Excit-15,1/2,0.0
Excit-15,1/2/3,1.0
Excit-15,1/2o,0.0
Excit-15,1/2o (2i-4),0.0
Excit-15,1/2o (2i/3),0.0
Excit-15,1/2o (3),0.0
Excit-15,1/2o/2i,0.0
Excit-15,1/2o/2i/3,0.0
Excit-15,1/2o/4,0.0
Excit-15,10,0.0
Excit-15,2i (3/4),0.0
Excit-15,2i/3,0.0
Excit-15,2i/3 (1-4),0.0
Excit-15,2i/3/4,0.0
Excit-15,3 (1-4),0.0
Excit-15,3 (1-5),0.0
Excit-15,3/4,0.0
Excit-15,3/4 (1/2o),0.0
Excit-15,4,0.0
Excit-15,4/5,0.0
Excit-15,4/5/6,0.0
Excit-15,4/lat 5,0.0
Excit-15,4/med 5,0.0
Excit-15,5,0.0
Excit-15,5/6,0.0
Excit-15,6/7/8,0.0
Excit-15,7,0.0
Excit-15,7-IML,0.0
Excit-15,7/8,0.0
Excit-15,9,0.0
Excit-15,N/A,0.0
Excit-15,med 5,0.0
Excit-16,1-4,0.0
Excit-16,1/2,0.0
Excit-16,1/2/3,0.0
Excit-16,1/2o,0.0
Excit-16,1/2o (2i-4),1.0
Excit-16,1/2o (2i/3),0.0
Excit-16,1/2o (3),0.0
Excit-16,1/2o/2i,0.0
Excit-16,1/2o/2i/3,0.0
Excit-16,1/2o/4,0.0
Excit-16,10,0.0
Excit-16,2i (3/4),0.0
Excit-16,2i/3,0.0
Excit-16,2i/3 (1-4),0.0
Excit-16,2i/3/4,0.0
Excit-16,3 (1-4),0.0
Excit-16,3 (1-5),0.0
Excit-16,3/4,0.0
Excit-16,3/4 (1/2o),0.0
Excit-16,4,0.0
Excit-16,4/5,0.0
Excit-16,4/5/6,0.0
Excit-16,4/lat 5,0.0
Excit-16,4/med 5,0.0
Excit-16,5,0.0
Excit-16,5/6,0.0
Excit-16,6/7/8,0.0
Excit-16,7,0.0
Excit-16,7-IML,0.0
Excit-16,7/8,0.0
Excit-16,9,0.0
Excit-16,N/A,0.0
Excit-16,med 5,0.0
Excit-17,1-4,0.0
Excit-17,1/2,0.0
Excit-17,1/2/3,0.0
Excit-17,1/2o,0.0
Excit-17,1/2o (2i-4),0.0
Excit-17,1/2o (2i/3),0.0
Excit-17,1/2o (3),0.0
Excit-17,1/2o/2i,0.0
Excit-17,1/2o/2i/3,0.0
Excit-17,1/2o/4,0.0
Excit-17,10,0.0
Excit-17,2i (3/4),0.0
Excit-17,2i/3,0.0
Excit-17,2i/3 (1-4),0.0
Excit-17,2i/3/4,0.0
Excit-17,3 (1-4),0.0
Excit-17,3 (1-5),0.0
Excit-17,3/4,0.0
Excit-17,3/4 (1/2o),0.0
Excit-17,4,0.0
Excit-17,4/5,0.0
Excit-17,4/5/6,0.0
Excit-17,4/lat 5,0.0
Excit-17,4/med 5,0.0
Excit-17,5,0.0
Excit-17,5/6,0.0
Excit-17,6/7/8,0.0
Excit-17,7,0.0
Excit-17,7-IML,0.0
Excit-17,7/8,0.0
Excit-17,9,0.0
Excit-17,N/A,1.0
Excit-17,med 5,0.0
Excit-18,1-4,0.0
Excit-18,1/2,0.0
Excit-18,1/2/3,0.0
Excit-18,1/2o,0.0
Excit-18,1/2o (2i-4),1.0
Excit-18,1/2o (2i/3),0.0
Excit-18,1/2o (3),0.0
Excit-18,1/2o/2i,0.0
Excit-18,1/2o/2i/3,0.0
Excit-18,1/2o/4,0.0
Excit-18,10,0.0
Excit-18,2i (3/4),0.0
Excit-18,2i/3,0.0
Excit-18,2i/3 (1-4),0.0
Excit-18,2i/3/4,0.0
Excit-18,3 (1-4),0.0
Excit-18,3 (1-5),0.0
Excit-18,3/4,0.0
Excit-18,3/4 (1/2o),0.0
Excit-18,4,0.0
Excit-18,4/5,0.0
Excit-18,4/5/6,0.0
Excit-18,4/lat 5,0.0
Excit-18,4/med 5,0.0
Excit-18,5,0.0
Excit-18,5/6,0.0
Excit-18,6/7/8,0.0
Excit-18,7,0.0
Excit-18,7-IML,0.0
Excit-18,7/8,0.0
Excit-18,9,0.0
Excit-18,N/A,0.0
Excit-18,med 5,0.0
Excit-19,1-4,0.0
Excit-19,1/2,0.0
Excit-19,1/2/3,0.0
Excit-19,1/2o,0.0
Excit-19,1/2o (2i-4),0.0
Excit-19,1/2o (2i/3),0.0
Excit-19,1/2o (3),0.0
Excit-19,1/2o/2i,0.0
Excit-19,1/2o/2i/3,0.0
Excit-19,1/2o/4,0.0
Excit-19,10,0.0
Excit-19,2i (3/4),1.0
Excit-19,2i/3,0.0
Excit-19,2i/3 (1-4),0.0
Excit-19,2i/3/4,0.0
Excit-19,3 (1-4),0.0
Excit-19,3 (1-5),0.0
Excit-19,3/4,0.0
Excit-19,3/4 (1/2o),0.0
Excit-19,4,0.0
Excit-19,4/5,0.0
Excit-19,4/5/6,0.0
Excit-19,4/lat 5,0.0
Excit-19,4/med 5,0.0
Excit-19,5,0.0
Excit-19,5/6,0.0
Excit-19,6/7/8,0.0
Excit-19,7,0.0
Excit-19,7-IML,0.0
Excit-19,7/8,0.0
Excit-19,9,0.0
Excit-19,N/A,0.0
Excit-19,med 5,0.0
Excit-20,1-4,0.0
Excit-20,1/2,0.0
Excit-20,1/2/3,0.0
Excit-20,1/2o,0.0
Excit-20,1/2o (2i-4),0.0
Excit-20,1/2o (2i/3),0.0
Excit-20,1/2o (3),0.0
Excit-20,1/2o/2i,0.0
Excit-20,1/2o/2i/3,0.0
